"","Site","Transect","Location","Ammonia_mg_kg","Nitrate_mg_kg","Tube_ID","Ortho_P_mg_kg"
"27","10","2","3",0.0625563205132826,0.00908337238222254,"86",0.0315755325667736
"28","5","2","33",0.0959602161100196,0.0103143418467584,"78",0.0352406679764244
"29","12","1","16",0.053156049094097,0.00981881940385739,"48",0.0259497369959088
"30","5","1","3",0.00932469935245144,0.00932469935245144,"73",0.0357446808510638
"31","7","2","16",0.0354423292273236,0.0129619260918253,"52",0.00403135498320269
"32","12","1","33",0.367234685073339,0.0454270923209664,"47",0.056816220880069
"33","12","1","47",0.0892669628432956,0.00209006462035541,"45",0.0193255250403877
"34","12","2","33",0.2406248738546,0.00968796673798087,"68",0.0386913171598111
"35","56","2","3",0.508676193467337,0.148722126256281,"60",0.263171325376884
"36","8","1","16",1.76792141571686,0.0649557588482303,"70",0.0611877624475105
"37","12","2","16",0.193036820998906,0.010207801676996,"59",0.0406489245351805
"38","56","2","47",0.814052838673412,0.175407532321529,"69",0.056717256885891
"39","56","2","33",2.42644732037811,0.20018053470729,"61",0.10339161832123
"40","12","2","3",0.086139896373057,0.0304095731556871,"54",0.00444115470022206
"41","8","2","33",0.00909090909090909,0.00227272727272727,"62",0.0313311688311688
"42","26","2","33",0.00958320657134165,0.00958320657134165,"57",0.0393025555217524
"43","10","1","47",0.00533519553072626,0.00756983240223464,"42",0.0309497206703911
"44","12","1","3",0.00974854932301741,0.00974854932301741,"49",0.0559381044487427
"45","11","2","16",0.037049672489083,0.17127797489083,"87",0.00757368995633188
"46","10","1","33",0.0162837667255743,0.029916687705125,"41",0.0321257258268114
"47","31","2","16",0.0096551724137931,0.0096551724137931,"33",0.0347126436781609
"48","26","2","47",0.168887370458945,0.00956610864366246,"66",0.0232889192574878
"49","11","1","16",0.174623462760812,0.0174105292248169,"88",0.019586845377919
"50","7","2","33",0.141828563220455,0.0807178511150214,"44",0.0314576076417568
"51","26","2","3",0.00961098398169337,0.00961098398169337,"81",0.0419908466819222
"52","10","2","16",0.332670525157121,0.128093597983169,"74",0.0217839008628342
"53","26","1","3",0.0509673808762392,0.0100735529261273,"51",0.0416133674448353
"54","34","1","47",0.0862796833773087,0.00949868073878628,"20",0.0499811534112326
"55","7","1","33",0.446314046706169,0.00878354827466016,"13",0.00376437783199721
"56","49","1","16",0.157871720116618,0.0479409620991254,"18",0.05625
"57","31","2","3",0.143909056886228,0.0094311377245509,"29",0.0268899700598802
"58","7","1","3",1.92528985507246,0.0243478260869565,"38",0.068695652173913
"59","29","1","3",0.331501662356853,0.0312246028814185,"12",0.0237717029922423
"60","34","1","3",0.0792504570383912,0.00921389396709324,"25",0.0523217550274223
"61","29","2","33",0.289137134052388,0.00589368258859784,"10",0.0420647149460709
"62","26","1","47",0.167442539929879,0.00014608492403584,"46",0.0332489287105571
"63","56","1","33",0.617520960365854,0.00960365853658537,"34",0.172008384146341
"64","29","1","16",0.17958636537725,0.0096514745308311,"28",0.027230945997702
"65","34","1","33",0.0306325987841945,0.0220839665653495,"21",0.0503799392097265
"66","49","1","33",0.0705656934306569,0.00919708029197081,"32",0.0368978102189781
"67","29","1","33",0.9159140969163,0.00974669603524229,NA,0.0593612334801762
"68","31","1","47",0.26509703196347,0.00958904109589041,"23",0.0236301369863014
"69","31","1","16",0.29793986636971,0.00935412026726058,"26",0.0353006681514477
"70","56","1","16",0.690837874659401,0.0654972752043597,NA,0.257425068119891
"71","31","2","47",0.177098540145985,0.00919708029197081,"4",0.0333394160583942
"72","29","2","3",0.720091324200913,0.113299086757991,"6",0.0689497716894977
"73","31","1","3",0.329781372200498,0.00895840739424103,"22",0.0394063277639531
"74","34","2","16",0.0258381502890173,0.00971098265895954,"15",0.041849710982659
"75","56","2","16",0.235185909980431,0.00986301369863014,"58",0.102974559686888
"76","29","2","47",0.0188622754491018,0.0188622754491018,"9",0.0577095808383234
"77","34","2","3",0.2390625,0.0184393825301205,"35",0.0259224397590362
"78","49","1","47",0.702882037533512,0.315348525469169,"39",0.0166219839142091
"79","8","2","47",0.366431641655984,0.0190030917728678,"71",0.0530502978659226
"80","56","1","47",0.386712561297624,0.273943794794417,"17",0.0602036967182195
"81","34","1","16",0.0408,0.00775384615384616,"19",0.0306461538461538
"82","49","2","47",0.0204213938411669,0.199534035656402,"1",0.170056726094003
"83","10","1","16",0.578559572113611,0.0778218369605312,"40",0.0378458133530063
"84","49","2","3",0.379757158390721,0.0551014860456687,"16",0.14021384559623
"85","29","1","47",0.343780579601054,0.00948438088069251,"7",0.00671810312382386
"86","26","1","33",0.398921383298121,0.00934059824307795,"50",0.0305237406872012
"87","29","2","16",1.25423158640227,0.0452018413597734,"11",0.0402620396600567
"88","29","2","16",1.389,0.0500588235294118,"8",0.0445882352941177
"89","7","1","47",0.51389911634757,0.0185567010309278,"37",0.0462812960235641
"90","56","1","3",0.383042600073448,0.20894234300404,"2",0.0575100991553434
"91","49","2","16",0.530636173030236,0.0139042154049879,"31",0.0694383138380049
"92","7","1","16",0.0697298563397876,0.00787008119925047,"27",0.0535915053091818
"93","49","1","3",0.830586139896373,0.0163212435233161,"3",0.0907383419689119
"94","8","2","3",0.401573453215483,0.0192014629686071,"64",0.0633191100274307
"95","5","2","47",0.00818539385563942,0.0734559370681407,"72",0.0358243860954608
"96","34","2","33",0.266100230414747,0.00967741935483871,"24",0.0538018433179724
